28,601008.SH,连云港,江苏连云港港口股份有限公司,江苏,连云港市,2007-04-26,2001-10-15,杨龙,"124,063.80",2608,"为客户提供港口装卸、堆存及相关港务服务,收取港口作业费用。",连云港市人民政府国有资产监督管理委员会,中国(江苏)自由贸易实验区连云港片区连云区庙岭港区港口四路8号,江苏省连云港市连云区中华路18号港口大厦22-23层,水上运输业
29,600237.SH,铜峰电子,安徽铜峰电子股份有限公司,安徽,铜陵市,2000-06-09,1996-08-08,黄明强,"63,062.92",1853,薄膜电容器及其薄膜材料的研发、生产和销售,铜陵市人民政府国有资产监督管理委员会,安徽省铜陵市经济技术开发区翠湖三路399号铜峰工业园,安徽省铜陵市经济技术开发区翠湖三路399号铜峰工业园,计算机、通信和其他电子设备制造业
30,600320.SH,振华重工,上海振华重工(集团)股份有限公司,上海,上海市,2000-12-21,1992-02-14,由瑞凯,"526,835.35",8304,港口机械及服务、海洋重工、大重特型钢结构、海上运输安装及新产业等多个板块,无,上海市浦东南路3470号,上海市东方路3261号,通用设备制造业
31,600640.SH,国脉文化,新国脉数字文化股份有限公司,上海,上海市,1993-04-07,1992-04-01,张伟,"79,569.59",1814,"公司聚焦内容运营,围绕数字内容、数智应用、元宇宙、实体场景和数字资产五大业务",国务院国有资产监督管理委员会,上海市普陀区江宁路1207号4、18、20-21楼,上海市江宁路1207号,互联网和相关服务
32,601212.SH,白银有色,白银有色集团股份有限公司,甘肃,白银市,2017-02-15,2007-07-06,王普公,"740,477.45",14806,铜、铅、锌、金、银等多种有色金属及贵金属的采选、冶炼、加工及贸易,无,甘肃省白银市白银区友好路96号,甘肃省白银市白银区友好路96号,有色金属冶炼和压延加工业
33,603018.SH,华设集团,华设设计集团股份有限公司,江苏,南京市,2014-10-13,2005-08-12,杨卫东,"68,378.25",6130,主要包括城乡规划、公路、水运、航空、铁路与城市轨道、市政、水利、建筑、生态环保、智能工程和工程数字化等领域。,无,南京市秦淮区紫云大道9号,江苏省南京市秦淮区紫云大道9号,专业技术服务业
34,600766.SH,*ST园城,烟台园城黄金股份有限公司,山东,烟台市,1996-10-28,1994-06-17,牟赛英,"22,422.68",18,钢材、煤炭、燃料油的销售工作,王焕成,山东省烟台市芝罘区南大街261号,山东省烟台市芝罘区南大街261号,批发业
35,603169.SH,兰石重装,兰州兰石重型装备股份有限公司,甘肃,兰州市,2014-10-09,2001-10-22,郭富永,"130,629.18",4274,传统能源化工装备(炼油化工、煤化工、化工新材料等领域)、新能源装备(核能、光伏多晶硅、氢能等领域)、工业智能装备(快速锻造液压机组、工业机器人等)以及节能环保装备的研发、设计、制造、检测、检维修服务及工程总承包。,甘肃省国有资产监督管理委员会,甘肃省兰州市兰州新区黄河大道西段528号,甘肃省兰州市兰州新区黄河大道西段528号,专用设备制造业
36,600716.SH,凤凰股份,江苏凤凰置业投资股份有限公司,江苏,南京市,1996-07-02,1996-06-24,王译萱,"93,606.06",118,房地产开发、商品房销售,江苏省人民政府,南京市中央路389号凤凰国际大厦六楼,南京市中央路389号凤凰国际大厦六楼,房地产业
37,600821.SH,金开新能,金开新能源股份有限公司,天津,天津市,1994-01-28,1997-03-27,尤明杨,"199,726.35",620,"新能源电力的开发、投资、建设及运营,目前主要包括光伏发电和风力发电两个板块。",天津市人民政府国有资产监督管理委员会,天津市和平区贵州路四号龙通大厦411室,北京市西城区新兴东巷10号,电力、热力生产和供应业
